institution,fiscal_year,study_level,gender,headcount
Laurentian,2012-2013,Undergraduate,Female,3862
Laurentian,2012-2013,Undergraduate,Male,2417
Laurentian,2012-2013,Graduate,Female,225
Laurentian,2012-2013,Graduate,Male,178
Laurentian,2013-2014,Undergraduate,Female,3791
Laurentian,2013-2014,Undergraduate,Male,2501
Laurentian,2013-2014,Graduate,Female,260
Laurentian,2013-2014,Graduate,Male,202
Laurentian,2014-2015,Undergraduate,Female,3794
Laurentian,2014-2015,Undergraduate,Male,2541
Laurentian,2014-2015,Graduate,Female,280
Laurentian,2014-2015,Graduate,Male,196
Laurentian,2015-2016,Undergraduate,Female,3970
Laurentian,2015-2016,Undergraduate,Male,2654
Laurentian,2015-2016,Graduate,Female,308
Laurentian,2015-2016,Graduate,Male,199
Laurentian,2016-2017,Undergraduate,Female,3873
Laurentian,2016-2017,Undergraduate,Male,2649
Laurentian,2016-2017,Graduate,Female,302
Laurentian,2016-2017,Graduate,Male,204
Laurentian,2017-2018,Undergraduate,Female,3719
Laurentian,2017-2018,Undergraduate,Male,2603
Laurentian,2017-2018,Graduate,Female,291
Laurentian,2017-2018,Graduate,Male,201
Laurentian,2018-2019,Undergraduate,Female,3656
Laurentian,2018-2019,Undergraduate,Male,2486
Laurentian,2018-2019,Undergraduate,N/A or Another,14
Laurentian,2018-2019,Graduate,Female,339
Laurentian,2018-2019,Graduate,Male,232
Laurentian,2019-2020,Undergraduate,Female,3706
Laurentian,2019-2020,Undergraduate,Male,2471
Laurentian,2019-2020,Undergraduate,N/A or Another,19
Laurentian,2019-2020,Graduate,Female,380
Laurentian,2019-2020,Graduate,Male,264
Laurentian,2020-2021,Undergraduate,Female,3936
Laurentian,2020-2021,Undergraduate,Male,2357
Laurentian,2020-2021,Undergraduate,N/A or Another,33
Laurentian,2020-2021,Graduate,Female,405
Laurentian,2020-2021,Graduate,Male,304
Laurentian,2021-2022,Undergraduate,Female,3346
Laurentian,2021-2022,Undergraduate,Male,1971
Laurentian,2021-2022,Undergraduate,N/A or Another,18
Laurentian,2021-2022,Graduate,Female,344
Laurentian,2021-2022,Graduate,Male,290
Laurentian,2022-2023,Undergraduate,Female,3124
Laurentian,2022-2023,Undergraduate,Male,1724
Laurentian,2022-2023,Undergraduate,N/A or Another,25
Laurentian,2022-2023,Graduate,Female,392
Laurentian,2022-2023,Graduate,Male,357
Laurentian,2023-2024,Undergraduate,Female,3025
Laurentian,2023-2024,Undergraduate,Male,1629
Laurentian,2023-2024,Undergraduate,N/A or Another,76
Laurentian,2023-2024,Graduate,Female,641
Laurentian,2023-2024,Graduate,Male,870
McMaster,2012-2013,Undergraduate,Female,12125
McMaster,2012-2013,Undergraduate,Male,10124
McMaster,2012-2013,Graduate,Female,1722
McMaster,2012-2013,Graduate,Male,1822
McMaster,2013-2014,Undergraduate,Female,12260
